gpu,gpu_point,gpu_money,cost_performance,clock_rate,memory
GeForce RTX 3090 Ti,29555,64999,0.4,1.86,24
Radeon RX 6950 XT,28326,35000,0.8,1.89,16
GeForce RTX 3080 Ti,27259,36900,0.7,1.67,12
GeForce RTX 3090,26623,46900,0.5,1.7,24
GeForce RTX 3080 12GB,26605,24988,1,1.71,12
Radeon RX 6900 XT,25958,29900,0.8,2.25,16
GeForce RTX 3080,25178,21900,1.1,1.71,10
Radeon RX 6800 XT,23921,34000,0.7,2.25,16
GeForce RTX 3070 Ti,23604,18900,1.2,1.77,8
GeForce RTX 3070,22286,15900,1.4,1.73,8
GeForce RTX 3060 VENTUS 2X 12G,17085,10900,1.5,1.78,12